method,seed,train_size,r,K,h,time,rmseC,rmseC_alg,f1_1,f1_2,f1_3,macro_f1,weighted_f1,f1_1_dip,f1_2_dip,f1_3_dip,macro_f1_dip,weighted_f1_dip,rmse1,rmse5,rmse10,rmse12,rmse15,mae1,mae5,mae10,mae12,mae15,mape1,mape5,mape10,mape12,mape15,x_forecast,c_predicted
LSTM,88243,220,1,10,1,52.026,,,,,,,,,,,,,4.74603,8.50727,10.06186,10.35807,10.72015,4.74603,8.27439,9.83448,10.14901,10.53115,1209.96621,2726.24701,3278.33794,18315.79072,15557.85515,"[5.13827, 7.92751, 9.21632, 10.12113, 10.80075, 11.36411, 11.79112, 11.99681, 12.05892, 12.03624, 12.09514, 12.1719, 12.25939, 12.33543, 12.41306, 12.48245, 12.56502, 12.65228, 12.75787, 12.87066]",
Alg_c,88243,220,1,10,1,0,0.60881,0.60881,0.93976,0.5,0,0.47992,0.86647,0.90272,0.52308,0.33333,0.58638,0.79361,,,,,,,,,,,,,,,,,"[0.0, 0.57044, 0.0, 0.23406, 0.0, 0.1593, 0.43458, 0.13027, 0.0, 0.17323, 0.60656, 0.20442, 0.0, 0.0, 0.0, 0.02996, 0.59754, 0.09381, 0.17856, 0.72081, 0.03724, 0.08885, 0.20244, 0.0, 0.04965, 0.35682, 0.35518, 0.62888, 0.55108, 0.42835, 0.266, 0.56524, 0.0, 0.66319, 0.37788, 0.44448, 0.84097, 0.21712, 0.06527, 0.63206, 0.24776, 0.2913, 0.2817, 0.49309, 0.0, 0.0, 0.0, 0.0, 0.33215, 0.66422, 0.23077, 0.33726, 0.05772, 0.0, 0.7978, 1.48647, 0.44272, 0.26553, 0.50166, 0.69894, 0.73589, 0.82384, 0.7415, 1.03452, 0.67105, 0.55201, 0.44482, 0.46546, 0.33442, 0.34865, 0.57545, 0.85383, 0.85714, 0.6632, 1.07217, 0.46928, 1.02946, 0.59722, 0.14343, 0.76662, 0.50161, 1.2183, 0.89265, 0.60161, 0.48953, 1.28915, 1.17456, 0.45829, 1.18762, 0.93028, 1.01278, 1.10033, 1.01332, 0.79436, 1.13431, 0.67582, 1.18792, 1.126, 1.14539, 0.75597, 1.03625, 0.82422, 1.01701, 1.39182, 1.05296, 1.11622, 0.86931, 1.1982, 1.10316, 1.30704, 0.92169, 1.33494, 1.19789, 0.93168, 1.34428, 1.18044, 0.8776, 1.55322, 0.79827, 1.25296, 1.20934, 1.15725, 1.44405, 1.61131, 0.74061, 0.86604, 1.37792, 0.79415, 1.55178, 0.90646, 1.38823, 1.84898, 0.87909, 1.52112, 1.35734, 1.71545, 1.33073, 1.22291, 1.72305, 1.42105, 1.48944, 1.2129, 1.10423, 1.70249, 0.86079, 1.34882, 1.24022, 1.1241, 1.63324, 1.61105, 1.80141, 1.61303, 1.77233, 1.54972, 1.73647, 1.46477, 1.24509, 1.87864, 1.68529, 1.90427, 1.62797, 1.57685, 1.75507, 1.65855, 1.84248, 1.36984, 1.96924, 1.43012, 1.63152, 1.92641, 1.63477, 1.31479, 1.43623, 1.33936, 1.86789, 1.82771, 1.5185, 1.36952, 1.28666, 1.62408, 1.76862, 1.84229, 2.04182, 1.69687, 1.70172, 1.79364, 1.85898, 2.11651, 1.90872, 1.92122, 1.5829, 1.66133, 2.52219, 2.12515, 2.04622, 0.85668, 2.41935, 4.7854, 0.0, 4.22941, NaN, 4.98111, 0.0, 5.6688, NaN, 1.82985, 1.53549, 2.80847, 2.26474, 0.0, 0.72138, 2.67928, 0.0, 2.57551, 2.20405, 2.84038, 0.0, 1.69622, 4.37649]"
UDE-NN,79876,220,1,10,1,167.301,0.05984,0.4171,0.98864,0.95122,0,0.64662,0.98157,0.91406,0.78846,0,0.56751,0.8701,0.07683,0.18225,0.15848,0.14975,0.14358,0.07683,0.15333,0.13062,0.12085,0.11908,20.60714,171.25342,108.85179,93.09168,80.89997,"[0.29599, 0.33679, 0.35896, 0.3697, 0.37496, 0.37785, 0.37973, 0.38114, 0.38231, 0.38331, 0.38419, 0.38495, 0.3856, 0.38616, 0.38662, 0.38699, 0.38728, 0.38748, 0.3876, 0.38764]","[-0.02271, 0.02821, -0.0017, -0.019, 0.08558, 0.07503, 0.11044, 0.13157, 0.04618, 0.0838, 0.10296, 0.15278, 0.14554, 0.19199, 0.18002, 0.08105, 0.14708, 0.20272, 0.13777, 0.2209, 0.25239, 0.28586, 0.2203, 0.24766, 0.23222, 0.22411, 0.25148, 0.2188, 0.22073, 0.16657, 0.16497, 0.22938, 0.23922, 0.28307, 0.33952, 0.42905, 0.40795, 0.4055, 0.40962, 0.35953, 0.36393, 0.39503, 0.44026, 0.46098, 0.5202, 0.56127, 0.53004, 0.50205, 0.5356, 0.53198, 0.55469, 0.57685, 0.45308, 0.44613, 0.43042, 0.53869, 0.56327, 0.59151, 0.60256, 0.54856, 0.60264, 0.65289, 0.61472, 0.62422, 0.72693, 0.72341, 0.70273, 0.68358, 0.63582, 0.59779, 0.59031, 0.66805, 0.74177, 0.75622, 0.72591, 0.75715, 0.83588, 0.83589, 0.81704, 0.78223, 0.74005, 0.75013, 0.77734, 0.86448, 0.87032, 0.87841, 0.90535, 0.94475, 0.86416, 0.83965, 0.86693, 0.93507, 0.95852, 0.91354, 0.89949, 0.98057, 1.05138, 1.08759, 1.06476, 1.03044, 1.01592, 1.03604, 0.98271, 0.95365, 0.98825, 1.00364, 1.02654, 1.04808, 1.05656, 1.12085, 1.10227, 1.05228, 1.08627, 1.06054, 1.12426, 1.11311, 1.12978, 1.12498, 1.21459, 1.18945, 1.23465, 1.30483, 1.29343, 1.303, 1.24977, 1.32995, 1.34796, 1.32388, 1.30051, 1.25449, 1.31051, 1.3232, 1.30638, 1.29042, 1.34546, 1.37595, 1.37307, 1.47118, 1.46196, 1.393, 1.37975, 1.36628, 1.37603, 1.43261, 1.43209, 1.36449, 1.48951, 1.54999, 1.52533, 1.54922, 1.63091, 1.60224, 1.60169, 1.60154, 1.49863, 1.53132, 1.57897, 1.56621, 1.59705, 1.66964, 1.65777, 1.67421, 1.63786, 1.65353, 1.6366, 1.62269, 1.68365, 1.69303, 1.69683, 1.68717, 1.66882, 1.75645, 1.75062, 1.70598, 1.76072, 1.76794, 1.77649, 1.85705, 1.8798, 1.88, 1.8161, 1.79371, 1.80359, 1.80196, 1.77428, 1.81715, 1.95445, 1.97819, 1.90489, 1.90759, 1.83493, 1.8916, 1.96173, 1.95164, 1.94811, 1.96114, 1.94017, 1.94369, 1.97175, 1.99796, 1.98722, 2.08973, 2.12327, 2.12386, 2.14209, 2.15993, 2.19178, 2.20337, 2.22229, 2.23644, 2.23733, 2.24332, 2.2493, 2.25137, 2.25492, 2.2702, 2.28373, 2.30603, 2.32387, 2.3345]"
GP,79876,220,1,10,1,758.908,0.09248,0.4171,0.97802,0.89189,0,0.6233,0.9619,0.88636,0.6875,0,0.52462,0.81676,0.05221,0.23676,0.23151,0.21956,0.21933,0.05221,0.18385,0.18205,0.17252,0.17466,14.00313,229.43414,156.28307,135.48753,120.59239,"[0.32061, 0.39473, 0.44855, 0.48383, 0.50674, 0.52246, 0.53421, 0.54381, 0.55225, 0.56004, 0.56745, 0.57462, 0.58165, 0.58856, 0.59539, 0.60214, 0.60882, 0.61544, 0.62199, 0.62849]","[0.0285, 0.03892, 0.04939, 0.06019, 0.07079, 0.08139, 0.09205, 0.10164, 0.11075, 0.11935, 0.12935, 0.14042, 0.15169, 0.16295, 0.1742, 0.18544, 0.19659, 0.20783, 0.21901, 0.2302, 0.24019, 0.2497, 0.25942, 0.26911, 0.27846, 0.28879, 0.29972, 0.30979, 0.32009, 0.33037, 0.34017, 0.35094, 0.36144, 0.37267, 0.38393, 0.39495, 0.40619, 0.41739, 0.42838, 0.43956, 0.45074, 0.46194, 0.47298, 0.4842, 0.49538, 0.50649, 0.517, 0.52705, 0.53791, 0.54909, 0.56035, 0.57162, 0.58289, 0.59411, 0.60533, 0.61649, 0.62759, 0.63885, 0.65012, 0.66139, 0.67253, 0.68339, 0.69429, 0.70551, 0.71678, 0.72806, 0.73929, 0.75056, 0.76146, 0.77161, 0.78158, 0.79131, 0.80114, 0.81068, 0.81956, 0.82724, 0.83405, 0.83999, 0.8449, 0.84845, 0.85156, 0.85444, 0.85803, 0.86248, 0.86755, 0.87269, 0.87665, 0.88049, 0.88365, 0.88615, 0.88853, 0.89118, 0.89405, 0.89685, 0.89915, 0.90197, 0.90605, 0.91136, 0.91724, 0.92412, 0.93143, 0.93958, 0.94934, 0.95957, 0.97034, 0.98141, 0.99251, 1.00361, 1.01471, 1.02522, 1.03482, 1.04371, 1.05289, 1.06222, 1.07234, 1.08295, 1.09336, 1.10382, 1.11474, 1.12577, 1.13698, 1.14806, 1.1587, 1.16934, 1.17968, 1.18978, 1.19932, 1.20801, 1.21558, 1.22299, 1.22965, 1.23621, 1.24215, 1.24784, 1.25385, 1.26033, 1.26735, 1.27501, 1.28337, 1.29204, 1.30107, 1.31065, 1.32113, 1.33205, 1.34269, 1.35344, 1.36464, 1.37586, 1.387, 1.39802, 1.40928, 1.42055, 1.43177, 1.44282, 1.45357, 1.46419, 1.47471, 1.48586, 1.49709, 1.50798, 1.51858, 1.52965, 1.54091, 1.55213, 1.56315, 1.5742, 1.5854, 1.59662, 1.60789, 1.61913, 1.63005, 1.64104, 1.65196, 1.66276, 1.67388, 1.68472, 1.69319, 1.70159, 1.71089, 1.72094, 1.73154, 1.74157, 1.75143, 1.76142, 1.77178, 1.78224, 1.79307, 1.80381, 1.81506, 1.8258, 1.83591, 1.84548, 1.85505, 1.86406, 1.87234, 1.88011, 1.88697, 1.89301, 1.89837, 1.90264, 1.90555, 1.90711, 1.90753, 1.90604, 1.90358, 1.90149, 1.89922, 1.89708, 1.89447, 1.89217, 1.88979, 1.88717, 1.88479, 1.8823, 1.8798, 1.8774, 1.87537, 1.87309, 1.87095, 1.86862]"
ARIMA,79876,220,1,10,1,19.806,,,,,,,,,,,,,0.16775,0.20469,0.20804,0.21798,0.22254,0.16775,0.18421,0.18549,0.19659,0.19953,44.99506,104.70903,76.06747,72.61557,67.50633,"[0.20507, 0.19693, 0.1948, 0.19424, 0.1941, 0.19406, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405, 0.19405]",
RandomWalk,79876,220,1,10,1,1.198,,,,,,,,,,,,,0.13661,0.18482,0.18222,0.18939,0.19235,0.13661,0.16182,0.16164,0.16969,0.16957,36.64134,115.21862,79.95647,74.23947,66.50498,"[0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621, 0.23621]",
LSTM,79876,220,1,10,1,69.544,,,,,,,,,,,,,0.10325,0.18676,0.16998,0.15831,0.15447,0.10325,0.16403,0.14531,0.13376,0.12662,27.69466,168.83508,112.60749,96.82234,84.58783,"[0.26957, 0.313, 0.34181, 0.35774, 0.37306, 0.38902, 0.40563, 0.41998, 0.43218, 0.44301, 0.45279, 0.46158, 0.46937, 0.47625, 0.48234, 0.48775, 0.49254, 0.49678, 0.50054, 0.50386]",
Alg_c,79876,220,1,10,1,0,0.4171,0.4171,0.94152,0.63768,0,0.5264,0.88893,0.85827,0.54945,0,0.46924,0.75592,,,,,,,,,,,,,,,,,"[0.0, 0.19225, 0.0, 0.0, 0.32869, 0.0, 0.14668, 0.3092, 0.0, 0.09571, 0.03007, 0.29169, 0.00777, 0.2982, 0.42194, 0.0, 0.17862, 0.50709, 0.0, 0.32426, 0.25944, 0.48313, 0.04358, 0.31589, 0.22904, 0.15486, 0.37162, 0.14528, 0.32641, 0.07467, 0.04194, 0.33566, 0.16449, 0.27611, 0.22315, 0.69496, 0.33838, 0.38328, 0.53281, 0.24325, 0.3212, 0.36235, 0.503, 0.36966, 0.56118, 0.70726, 0.53223, 0.37106, 0.62687, 0.4673, 0.53078, 0.93581, 0.1178, 0.51276, 0.16776, 0.71334, 0.52328, 0.60341, 0.76584, 0.30392, 0.61739, 0.84204, 0.52044, 0.4099, 0.97049, 0.72195, 0.68775, 0.75111, 0.61392, 0.57905, 0.39804, 0.69002, 0.85752, 0.87373, 0.56896, 0.60549, 1.08978, 0.80742, 0.84625, 0.87134, 0.51392, 0.83151, 0.48194, 1.2118, 0.81143, 0.82472, 0.72788, 1.51348, 0.51165, 0.74677, 0.69711, 1.0917, 1.23818, 0.81044, 0.46079, 1.12962, 1.09048, 1.24677, 1.06041, 0.99283, 0.86923, 1.27347, 0.90516, 0.80531, 1.06298, 0.97777, 1.02887, 1.099, 0.87489, 1.3329, 1.18451, 0.7536, 1.38631, 0.74708, 1.36254, 0.98532, 1.252, 0.82761, 1.56432, 1.0, 1.15705, 1.52771, 1.16283, 1.54332, 0.85155, 1.53672, 1.41609, 1.26293, 1.46795, 0.8641, 1.51098, 1.37675, 1.35126, 1.01238, 1.47421, 1.56437, 0.91352, 1.83021, 1.58856, 1.17775, 1.44732, 1.32795, 1.24364, 1.55398, 1.67739, 0.83539, 1.66825, 1.72083, 1.42548, 1.39781, 1.90631, 1.4925, 1.55237, 1.93058, 1.11856, 1.56463, 1.74405, 1.47073, 1.45736, 1.9416, 1.50388, 1.83676, 1.49038, 1.7374, 1.64669, 1.44632, 1.81348, 1.68266, 1.71919, 1.75612, 1.36258, 2.0096, 1.86679, 1.37327, 1.92272, 1.75625, 1.63021, 1.9694, 1.90294, 2.01564, 1.72418, 1.73002, 1.82444, 1.86183, 1.64952, 1.62921, 2.15936, 2.19162, 1.61947, 2.25385, 1.42915, 1.88441, 2.20069, 1.87343, 1.86953, 2.11604, 1.84416, 1.88452, 1.95697, 2.32275, 1.24458, 2.58226, 2.91124, 0.0, 2.39347, 0.87351, 3.14813, 0.0, 2.44961, 3.6315, 0.0, 2.21411, 2.98043, 2.25026, 0.0, 2.49511, 0.76271, 2.53548, 3.47676]"
UDE-NN,60590,220,1,10,1,164.863,0.05744,1.29191,0.9916,0.96296,0,0.65152,0.98624,0.75,0.23853,0,0.32951,0.44144,0.0335,0.07569,0.12671,0.1266,0.18039,0.0335,0.05373,0.09804,0.10035,0.14095,13.95785,29.06964,31.82799,30.25142,33.04206,"[0.27353, 0.29733, 0.31339, 0.32435, 0.33233, 0.33864, 0.344, 0.3488, 0.35322, 0.35735, 0.36125, 0.36492, 0.3684, 0.37168, 0.37478, 0.3777, 0.38045, 0.38303, 0.38545, 0.38772]","[0.07186, 0.06152, 0.06486, 0.07158, 0.10093, 0.1186, 0.1648, 0.1508, 0.17696, 0.21251, 0.22928, 0.23818, 0.13066, 0.13773, 0.16704, 0.1462, 0.10959, 0.15747, 0.16706, 0.15282, 0.15875, 0.20889, 0.235, 0.26801, 0.24821, 0.27601, 0.3343, 0.36116, 0.35117, 0.31488, 0.28856, 0.31768, 0.31025, 0.27996, 0.29392, 0.37832, 0.43292, 0.43011, 0.40159, 0.40835, 0.37205, 0.43168, 0.40409, 0.38375, 0.38856, 0.41908, 0.51836, 0.4621, 0.49774, 0.5155, 0.52135, 0.47618, 0.54278, 0.52428, 0.52718, 0.58616, 0.59084, 0.58596, 0.60363, 0.65117, 0.66358, 0.70706, 0.71667, 0.67937, 0.67307, 0.69919, 0.68758, 0.65927, 0.70564, 0.73582, 0.76025, 0.73478, 0.75778, 0.72902, 0.73206, 0.70408, 0.72821, 0.78036, 0.83704, 0.846, 0.80867, 0.77763, 0.8107, 0.82094, 0.80542, 0.82983, 0.86222, 0.88954, 0.91201, 0.92107, 0.95277, 0.97396, 0.93549, 0.9076, 0.89322, 0.9211, 0.96459, 0.95331, 1.00684, 0.98887, 1.01841, 0.96174, 0.96342, 0.95618, 1.04498, 1.08824, 1.12498, 1.13809, 1.10923, 1.09867, 1.12214, 1.1743, 1.19646, 1.1825, 1.14464, 1.10324, 1.06633, 1.13764, 1.15928, 1.1964, 1.18084, 1.19664, 1.23547, 1.20468, 1.27288, 1.23938, 1.26329, 1.35491, 1.30697, 1.31895, 1.37691, 1.45938, 1.46904, 1.42799, 1.4213, 1.44932, 1.45052, 1.48305, 1.41372, 1.42349, 1.40947, 1.40503, 1.47752, 1.52449, 1.49876, 1.48777, 1.47543, 1.4167, 1.44757, 1.52478, 1.53526, 1.56136, 1.57687, 1.58793, 1.56737, 1.57186, 1.58771, 1.59596, 1.57246, 1.60956, 1.63385, 1.65619, 1.67857, 1.70867, 1.71207, 1.63611, 1.65549, 1.70805, 1.79537, 1.76417, 1.73328, 1.70913, 1.73147, 1.78054, 1.77484, 1.77241, 1.76871, 1.77017, 1.77083, 1.77888, 1.7922, 1.81884, 1.85276, 1.89077, 1.91972, 1.94292, 1.96651, 1.99499, 2.03379, 2.04062, 2.04509, 2.05869, 2.06437, 2.06959, 2.07207, 2.07464, 2.07639, 2.07527, 2.06892, 2.0613, 2.04969, 2.03773, 2.03258, 2.0508, 2.06751, 2.08592, 2.10117, 2.11446, 2.11459, 2.11436, 2.10733, 2.10098, 2.09284, 2.08834, 2.08613, 2.0784, 2.07422, 2.08702, 2.10081, 2.11014]"
GP,60590,220,1,10,1,767.546,0.38368,1.29191,0.89567,0,0,0.29856,0.72645,0.63636,0,0,0.21212,0.29697,0.10474,0.41102,1.2487,1.90633,2.89397,0.10474,0.36972,0.98974,1.44604,2.19803,43.63874,138.15484,272.05149,358.10758,444.15794,"[0.34477, 0.47499, 0.62779, 0.80236, 1.00434, 1.24668, 1.54909, 1.93679, 2.43615, 3.06335, 3.80502, 4.59993, 5.34518, 5.94268, 6.35508, 6.6122, 6.7695, 6.87233, 6.94768, 7.0092]","[-0.03633, -0.02313, -0.00971, 0.00387, 0.01953, 0.03492, 0.05069, 0.06643, 0.08189, 0.09773, 0.11347, 0.12928, 0.1452, 0.16105, 0.1769, 0.19175, 0.20443, 0.21582, 0.22532, 0.2343, 0.24394, 0.2522, 0.26094, 0.27009, 0.28043, 0.28802, 0.29476, 0.30106, 0.30588, 0.31028, 0.31636, 0.32395, 0.33372, 0.34416, 0.35464, 0.36678, 0.38073, 0.39639, 0.41211, 0.42767, 0.44326, 0.45879, 0.47443, 0.48979, 0.50569, 0.52112, 0.53667, 0.5525, 0.56807, 0.58319, 0.59792, 0.61328, 0.62757, 0.64167, 0.65532, 0.67001, 0.68503, 0.69964, 0.71521, 0.73108, 0.74657, 0.76208, 0.7771, 0.79212, 0.80766, 0.82284, 0.83773, 0.8513, 0.86505, 0.87972, 0.89141, 0.90078, 0.90835, 0.91291, 0.91472, 0.9161, 0.91651, 0.91623, 0.91608, 0.91524, 0.91389, 0.91316, 0.91236, 0.91212, 0.91278, 0.91239, 0.911, 0.90904, 0.90541, 0.89843, 0.89066, 0.88234, 0.87453, 0.86691, 0.861, 0.85798, 0.85915, 0.86528, 0.87268, 0.88165, 0.88886, 0.89616, 0.90448, 0.91429, 0.92415, 0.93431, 0.94312, 0.95028, 0.95645, 0.96081, 0.96564, 0.97056, 0.97621, 0.98294, 0.99183, 1.00448, 1.01866, 1.03406, 1.04978, 1.06567, 1.08153, 1.0967, 1.11125, 1.12464, 1.138, 1.15323, 1.16904, 1.18474, 1.19929, 1.21376, 1.22746, 1.2389, 1.24885, 1.25856, 1.26946, 1.27862, 1.28571, 1.29421, 1.30232, 1.31223, 1.3225, 1.33116, 1.34025, 1.35325, 1.36668, 1.38022, 1.39437, 1.40987, 1.42569, 1.44136, 1.45699, 1.47123, 1.48246, 1.49464, 1.50894, 1.52298, 1.53527, 1.54811, 1.5616, 1.57535, 1.58974, 1.60456, 1.6198, 1.63493, 1.65009, 1.6644, 1.67788, 1.69194, 1.7046, 1.71567, 1.72228, 1.72422, 1.72263, 1.71634, 1.70465, 1.68769, 1.66834, 1.64845, 1.62893, 1.60956, 1.59078, 1.57133, 1.5519, 1.5322, 1.51191, 1.49083, 1.46936, 1.44823, 1.42776, 1.40797, 1.38672, 1.3654, 1.34569, 1.32529, 1.3046, 1.28364, 1.26269, 1.24167, 1.22065, 1.19952, 1.17892, 1.15881, 1.13947, 1.12074, 1.10267, 1.08359, 1.06429, 1.04461, 1.02454, 1.00374, 0.9831, 0.96231, 0.9419, 0.92173, 0.90199, 0.88227, 0.8624, 0.84288, 0.82399, 0.80474]"
ARIMA,60590,220,1,10,1,19.805,,,,,,,,,,,,,0.03686,0.16254,0.28212,0.30306,0.37996,0.03686,0.13614,0.23574,0.26088,0.32675,15.35551,43.12131,58.07286,61.90419,66.98285,"[0.20317, 0.1747, 0.15285, 0.13608, 0.12321, 0.11333, 0.10575, 0.09993, 0.09546, 0.09204, 0.0894, 0.08739, 0.08584, 0.08465, 0.08373, 0.08303, 0.0825, 0.08208, 0.08177, 0.08152]",
RandomWalk,60590,220,1,10,1,1.224,,,,,,,,,,,,,0.00024,0.09317,0.18248,0.19372,0.26279,0.00024,0.0802,0.1446,0.15962,0.21464,0.09814,31.16299,37.00372,38.93594,43.93879,"[0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026, 0.24026]",
LSTM,60590,220,1,10,1,57.106,,,,,,,,,,,,,0.9538,2.18526,3.04567,3.29266,3.62115,0.9538,2.07005,2.88603,3.12512,3.44072,397.37473,771.99922,873.76096,882.01916,847.56702,"[1.19382, 1.85769, 2.44358, 2.92801, 3.33277, 3.67749, 3.95771, 4.17935, 4.35711, 4.5216, 4.69605, 4.89504, 5.12294, 5.37444, 5.63687, 5.89067, 6.11342, 6.28396, 6.38732, 6.4174]",
Alg_c,60590,220,1,10,1,0,1.29191,1.29191,0.95531,0.44,0,0.4651,0.87188,0.73362,0.14634,0.45714,0.4457,0.47282,,,,,,,,,,,,,,,,,"[0.11204, 0.03298, 0.06083, 0.02372, 0.1327, 0.04157, 0.30285, 0.06421, 0.16306, 0.25233, 0.21516, 0.51556, 0.0, 0.09421, 0.27387, 0.19711, 0.0, 0.2857, 0.21438, 0.12005, 0.03992, 0.30618, 0.17399, 0.42746, 0.11086, 0.20573, 0.40962, 0.41712, 0.40648, 0.30928, 0.11293, 0.43691, 0.37662, 0.19421, 0.1231, 0.47942, 0.54026, 0.48001, 0.29794, 0.55214, 0.11379, 0.65606, 0.3456, 0.33542, 0.34781, 0.26125, 0.87698, 0.20307, 0.56557, 0.51832, 0.67859, 0.15501, 0.8038, 0.44603, 0.38512, 0.72511, 0.5922, 0.53754, 0.53111, 0.75289, 0.56725, 0.77379, 0.82086, 0.60691, 0.59879, 0.78548, 0.75193, 0.45995, 0.75943, 0.70872, 0.91642, 0.53549, 0.97272, 0.54209, 0.91823, 0.52725, 0.69237, 0.73958, 0.95605, 0.97348, 0.80698, 0.51596, 0.9474, 0.92732, 0.64634, 0.84133, 0.88462, 0.88191, 1.00864, 0.75761, 0.94085, 1.30588, 0.7747, 0.93192, 0.73508, 0.86324, 1.21671, 0.64642, 1.28968, 0.69939, 1.38255, 0.69725, 1.10869, 0.65259, 1.22717, 1.05116, 1.15119, 1.26145, 1.03806, 1.0391, 1.03132, 1.26411, 1.25489, 1.21932, 1.13756, 1.14688, 0.7878, 1.31254, 1.08807, 1.33052, 1.09523, 1.11197, 1.50793, 0.80638, 1.62143, 1.0689, 1.10375, 1.67787, 1.15478, 1.23966, 1.32984, 1.60928, 1.57716, 1.3536, 1.35581, 1.49756, 1.39858, 1.68643, 1.25149, 1.47644, 1.37894, 1.24231, 1.52591, 1.67266, 1.45751, 1.47951, 1.60863, 1.2077, 1.34013, 1.6972, 1.45774, 1.60161, 1.55974, 1.67801, 1.49851, 1.55408, 1.59466, 1.71781, 1.38069, 1.68211, 1.63069, 1.65942, 1.64578, 1.72585, 1.96424, 1.33929, 1.65342, 1.56208, 2.12358, 1.66952, 1.76314, 1.57992, 1.60275, 2.12415, 1.63284, 1.99232, 1.05644, 2.04916, 1.25289, 1.73885, 0.8796, 1.52743, 1.36097, 2.74371, 5.15777, 0.0, 0.0, 0.20894, 3.29963, 19.28196, 0.0, 2.50128, 1.71474, 2.9483, 1.49473, 2.10277, 2.57647, 3.69021, 1.10779, 2.66147, 2.04345, 1.86024, 1.11208, 2.18171, 1.89423, 2.29287, 1.92548, 3.67049, 0.0, 3.77548, 0.0, 2.67565, 1.22888, 1.83171, 2.82892, 1.3413, 0.0, 2.10906, 2.67794]"
UDE-NN,29623,220,1,10,1,160.135,0.12386,0.30457,0.96317,0.82192,0,0.59503,0.93598,0.70742,0.48855,0,0.39866,0.58704,0.30933,0.22472,0.20128,0.28265,0.28453,0.30933,0.19815,0.15681,0.21482,0.22365,693.89696,6.67E+10,6.87E+10,8.70E+10,9.38E+10,"[0.35391, 0.3376, 0.33368, 0.3344, 0.33698, 0.34026, 0.34375, 0.34721, 0.35056, 0.35376, 0.35679, 0.35964, 0.36233, 0.36486, 0.36723, 0.36944, 0.37151, 0.37343, 0.37521, 0.37685]","[0.02684, 0.06588, 0.00048, -0.0039, 0.03954, 0.02912, -0.03728, -0.12348, -0.11177, -0.02073, -0.08712, 0.02405, 0.11678, 0.1767, 0.14891, 0.22197, 0.16104, 0.17068, 0.21257, 0.2212, 0.12345, 0.06648, 0.14599, 0.17422, 0.25436, 0.39877, 0.39652, 0.35861, 0.30994, 0.37447, 0.34431, 0.38256, 0.29501, 0.24955, 0.23564, 0.25711, 0.31232, 0.36, 0.4114, 0.4305, 0.38913, 0.28318, 0.22363, 0.34318, 0.33617, 0.31265, 0.31504, 0.50063, 0.52493, 0.63358, 0.6834, 0.67945, 0.66772, 0.62561, 0.63179, 0.68638, 0.75997, 0.76762, 0.79741, 0.8457, 0.85884, 0.77913, 0.80643, 0.76784, 0.6824, 0.51148, 0.49104, 0.550.69442, 0.7281, 0.74495, 0.67387, 0.68931, 0.81235, 0.8329, 0.78845, 0.80708, 0.76867, 0.78434, 0.7182, 0.82587, 0.95175, 0.96707, 0.9462, 0.82382, 0.85219, 0.86294, 0.86819, 0.8239, 0.84267, 0.99037, 0.99543, 0.96385, 0.90097, 0.85187, 0.87936, 1.00057, 1.13077, 1.0636, 1.14905, 1.13304, 1.10882, 1.04943, 1.10932, 1.21539, 1.23313, 1.27243, 1.29636, 1.44734, 1.40054, 1.35377, 1.27129, 1.1927, 1.13621, 1.09092, 1.19333, 1.20892, 1.26517, 1.33621, 1.42482, 1.46736, 1.45774, 1.583, 1.52672, 1.50967, 1.53851, 1.52554, 1.53521, 1.48448, 1.45358, 1.42722, 1.41185, 1.40614, 1.40653, 1.46702, 1.40077, 1.37696, 1.46091, 1.63058, 1.65957, 1.64662, 1.61906, 1.56218, 1.58152, 1.62406, 1.64037, 1.63414, 1.49021, 1.43648, 1.50473, 1.48067, 1.46174, 1.50545, 1.51268, 1.62337, 1.69707, 1.65269, 1.59554, 1.75563, 1.8136, 1.74731, 1.76325, 1.70134, 1.78183, 1.78916, 1.70581, 1.67814, 1.76727, 1.83712, 1.73222, 1.74087, 1.8345, 1.75256, 1.70952, 1.67596, 1.73161, 1.69991, 1.78056, 1.92138, 1.97898, 2.00432, 2.0154, 1.93747, 1.98654, 2.08119, 2.06689, 2.03442, 2.05111, 1.98747, 1.92289, 1.87324, 1.85995, 1.86035, 1.8634, 1.86059, 1.86391, 1.84094, 1.80625, 1.79022, 1.76835, 1.78088, 1.77717, 1.75969, 1.7356, 1.72492, 1.73075, 1.76854, 1.78707, 1.795]"
